POLAKOMITI, GLAGOL
DEPRIMIRAN, PRIDJEV
KNINJANKIN, PRIDJEV
MARONITSKI, PRIDJEV
BANJALUTAK, IMENICA
RASTALJENI, PRIDJEV
KSANTOPREN, IMENICA
POISPADATI, GLAGOL
SLADOKUSAN, IMENICA
GUSLAČICOJ, IMENICA
NEPOŠTEDAN, PRIDJEV
PARASITSKI, PRIDJEV
POSUĐENICA, IMENICA
OBRASTANJE, IMENICA
DOBROVAČKI, PRIDJEV
ZAJEDNIČKI, PRIDJEV
AEROFIZIKA, IMENICA
STATISTIKA, IMENICA
ZANESENJAK, IMENICA
UZBIBANOST, IMENICA
PRIGLEDATI, GLAGOL
DRUGARSTVO, IMENICA
PROTONOTAR, IMENICA
TRANZISTOR, IMENICA
PRELAZNINA, IMENICA
MEDIKAMENT, IMENICA
RAZGRAĐENI, PRIDJEV
SKROVITOST, IMENICA
SLOTNICKOV, PRIDJEV
NAMAHIVATI, GLAGOL
GEMINACIJA, IMENICA
HIPNOTIČNO, PRILOG
RASKAPANJE, IMENICA
VIDEOSKLOP, IMENICA
SRAŠĆIVATI, GLAGOL
POTKROVLJE, IMENICA
PALMOTIĆEV, PRIDJEV
BALISTIČKI, PRIDJEV
RAČUNOVOĐA, IMENICA
NEKULTURAN, PRIDJEV
PRIDRŽANJE, IMENICA
ODIJEVANJE, IMENICA
NEUROGLIJA, IMENICA
DEPLASIRAN, PRIDJEV
BREŽULJČIĆ, IMENICA
PODBACIVŠI, PRILOG
POSVAĐANJE, IMENICA
PRESIECATI, GLAGOL
MONTIRANJE, IMENICA
EKSTERIJER, IMENICA
DJETINJEĆI, PRILOG
PRIKLJUČNI, PRIDJEV
ISPREBACAN, PRIDJEV
PEDOFILSKI, PRIDJEV
VOJVOĐANKA, IMENICA
DOKUMENTAN, PRIDJEV
NAMIŠLJATI, GLAGOL
NEZAPOSLEN, PRIDJEV
RAZMRSKATI, GLAGOL
OGLADNJELI, PRIDJEV
BESKORISNI, PRIDJEV
GUBITNIČKI, PRIDJEV
NESUSJEDNI, PRIDJEV
REDOVITIJE, PRILOG
DVOJBENIJI, PRIDJEV
ODRICATNJI, PRIDJEV
IZMIRIVATI, GLAGOL
