IZRAVNOST, IMENICA
IZVRAĆATI, GLAGOL
SIMBIOZNI, PRIDJEV
EMPRIJSKI, PRIDJEV
BOCHUMSKI, PRIDJEV
UKUĆANSKI, PRIDJEV
NAMIRIVŠI, PRILOG
OGRIJANJE, IMENICA
TALJEVINA, IMENICA
IZMAŠTATI, GLAGOL
DUGOROČNI, PRIDJEV
EURIPIDOV, PRIDJEV
POSVETITI, GLAGOL
IZIGRAVAN, PRIDJEV
ZAŽARIVŠI, PRILOG
SAMSONSKI, PRIDJEV
INICIRATI, GLAGOL
HARMICITI, GLAGOL
KORAČEVIĆ, IMENICA
NANOKANAL, IMENICA
ŽUPLJANKA, IMENICA
MISLETATI, PRIDJEV
MINIPISAČ, IMENICA
FLAGELANT, IMENICA
UTRLJAVŠI, PRILOG
OKRETNOST, IMENICA
OBASUTITI, GLAGOL
SITNJENJE, IMENICA
PROPITATI, GLAGOL
TRAČERSKI, PRIDJEV
KROATOFOB, IMENICA
MOBILNOST, IMENICA
MONODRAMA, IMENICA
NEPOKOŠEN, PRIDJEV
ZATURIVŠI, PRILOG
BIBLICIST, IMENICA
ISPETLJAN, PRIDJEV
SIJEVNUTI, GLAGOL
KETOKSIMI, IMENICA
KLASAJUĆI, GLAGOL
DOSEZANJE, IMENICA
UPADAJUĆI, PRIDJEV
SPREGNUTI, PRIDJEV
POLUNIZAK, PRIDJEV
DJELAJUĆI, PRILOG
ZAKLINITI, GLAGOL
ŠLJAKANJE, IMENICA
IZDAŠNOST, IMENICA
BIJELAČKI, PRIDJEV
NEUSPJELO, IMENICA
POKUPLJEN, PRIDJEV
PRIVREDNO, PRILOG
BAČVARIJA, IMENICA
EMBRIOLOG, IMENICA
TERETIVŠI, PRILOG
USLUŽNOST, IMENICA
RASHLADNI, PRIDJEV
POTAKAVŠI, PRILOG
OSOVINICA, IMENICA
POTAKNUTI, GLAGOL
NEJASNIJI, PRIDJEV
ODBRUSITI, GLAGOL
EMINENTNO, PRILOG
IZVRSNOST, IMENICA
ISTIRANJE, IMENICA
ZAGORČITI, GLAGOL
ĆIFTINSKI, IMENICA
BRISTVICA, IMENICA
ZAVIDLJIV, PRIDJEV
ELEKTRIKA, IMENICA
ISHVALJEN, PRIDJEV
DIPLOMSKI, PRIDJEV
OTVORENJE, IMENICA
POKUPIVŠI, PRILOG
KRSTAREĆI, PRIDJEV
KOFEINSKI, PRIDJEV
RANJIVOST, IMENICA
ISKRETATI, GLAGOL
JABUČIŠTE, IMENICA
POTPALJEN, PRIDJEV
APSTINENT, IMENICA
DETONATOR, IMENICA
SELJAKATI, GLAGOL
