NASTANJIVANJE, IMENICA
KLASIFICIRAN, PRIDJEV
NAJUBOJITIJI, PRIDJEV
ETOKSISULFURON, IMENICA
SENZIBILIZIRAN, PRIDJEV
ALKOHOLIZIRANIJI, PRIDJEV
MULTILATERALNO, PRILOG
MIKRORAČUNALA, IMENICA
MACA, IMENICA
ISPRAĆIVANJE, IMENICA
DINASTIJSKI, PRIDJEV
REPRIZIRATI, GLAGOL
PRIORITETNIJI, PRIDJEV
NEOBNOVLJEN, PRIDJEV
NAJZLATONOSNIJI, PRIDJEV
PROPAGATIVNI, PRIDJEV
NAJGLIBAVIJI, PRIDJEV
POLUKONTINUIRAN, PRIDJEV
SLIKOGRADBEN, PRIDJEV
PARIZ-RUNGIS, IMENICA
NAJDOBROHOTNIJI, PRIDJEV
DETONIRANJE, IMENICA
PREKODIRATI, IMENICA
ŽIVOTINJSTVO, IMENICA
POZABAVLJEN, PRIDJEV
NAJNEIZVJESNIJI, PRIDJEV
U-RALO, IMENICA
INTERETEKSTUALNOST, IMENICA
DINUKLEOTID, IMENICA
UFEU, KRATICA
SAMOPODRŽAVAČ, IMENICA
VIZIONARSKI, PRIDJEV
ELEKTROLIZNI, PRIDJEV
MEĐUKRALJEŽNIČNI, PRIDJEV
JEDNOVALJANOST, IMENICA
OPTRČAVANJE, IMENICA
MIKROLEGIRATI, IMENICA
MAREOGRAFSKI, PRIDJEV
GRABEŽLJIVAC, IMENICA
PROGRAMATOR, IMENICA
VJEROVNIČKI, PRIDJEV
COX, KRATICA
AZIMUTELEVACIJA, IMENICA
LEĐI, PRIDJEV
KAMENOREZAČKI, PRIDJEV
SAMOIMPULSNI, PRIDJEV
PRETKOAGULANS, IMENICA
RASKALAŠENJAK, IMENICA
IIR, KRATICA
FEROCILTIOGLIKOLAN, PRIDJEV
ZAMRMOLJITI, GLAGOL
VEZIVNO-RASTEZLJIVI, PRIDJEV
BIOPOLIMERAN, PRIDJEV
NEOBVEZUJUĆI, PRIDJEV
PLEMENITAŠKI, PRIDJEV
SJUĆIGMAJUĆIZIRAJUĆI, PRILOG
PROTJERANJE, IMENICA
JABLANOVEČKI, PRIDJEV
NEKNJIŽEVNI, PRIDJEV
POZVONJENJE, IMENICA
NAJNEUTEMELJENIJI, PRIDJEV
EDIP, IMENICA
JEM, IMENICA
GRADIJENTAN, PRIDJEV
ISPITIVAČKI, PRIDJEV
NASELJAVATI, GLAGOL
PLAVŠA-MATIĆ, IMENICA
PODBACIVATI, GLAGOL
PROIZLAZITI, GLAGOL
SKULPTURALNOST, IMENICA
DOSTAVLJENI, PRIDJEV
TIOFANATEMETIL, IMENICA
KRIMINALISTICA, IMENICA
SREDIŠNJOST, IMENICA
OROBLJAVANJE, IMENICA
EGZOFTALMUS, IMENICA
KOMENJUĆIRAJUĆI, PRILOG
ČOK, IMENICA
FLUMIOKSAZIN, IMENICA
POJEDNOSTAVNITI, GLAGOL
RAČUNOVODSTVENO-FINANCIJSKI, PRIDJEV
EVOLUCIJSKI, PRIDJEV
VOL, IMENICA
DIJABETIČKI, PRIDJEV
INTERSTICIJSKI, PRIDJEV
IZOMETRIJSKI, PRIDJEV
IZMOTAVAJUĆI, PRILOG
ZADIVLJIVATI, GLAGOL
NEUZEMLJENI, PRIDJEV
BURE, IMENICA
SUPOTPISIVANJE, IMENICA
ZAHTJEVNOST, IMENICA
PAĆI, GLAGOL
VERBALIZIRAN, PRIDJEV
NAUČAVAJUĆI, PRIDJEV
SOK, IMENICA
INKULTURIRATI, IMENICA
VAB, IMENICA
MULTI-SEKTORALNI, PRIDJEV
MLIV, IMENICA
PROTISKIVAN, PRIDJEV
NAKNAĐUJUĆI, PRIDJEV
PROPELERSKI, PRIDJEV
SVAKOGODIŠNJI, PRIDJEV
PSEUDOTRANSLACIJSKI, PRIDJEV
DALEKOMETNI, PRIDJEV
ENCIKLOPEDIJSKI, PRIDJEV
SUOSNIVAČICA, IMENICA
PROSVIJETIVŠI, PRILOG
KSEROGRAFSKI, IMENICA
PIROTEHNIČARSKI, PRIDJEV
POST-RATNI, PRIDJEV
ODSTRANJIVO, IMENICA
NAŽLIJEBLJEN, PRIDJEV
MIZANTROPIJA, IMENICA
KR, IMENICA
MONOKROMATIZACIJA, IMENICA
POROBLJIVATI, GLAGOL
SAMOKANDIDIRATI, GLAGOL
TURBULENCIJA, IMENICA
APROKSIMIRAJUĆI, PRILOG
VAGON-RESTORAN, IMENICA
NAJSUPERIORNIJI, PRIDJEV
NAJZAPOSTAVLJENIJI, PRIDJEV
NAJNEMILIJI, PRIDJEV
DENUNCIJANTSKI, PRIDJEV
JAVA, IMENICA
KROMOPLASTI, IMENICA
USKOPOJASAN, PRIDJEV
FENILEN-SULFID, IMENICA
PLASTELINSKI, PRIDJEV
PRITEGNUTOST, IMENICA
ŠARPLANINSKI, PRIDJEV
NOMINACIJSKI, PRIDJEV
ANTITIREOIDNI, PRIDJEV
PETNAESTEROSTRUK, PRIDJEV
FAN, IMENICA
NEOBNOVLJIV, PRIDJEV
WRONSKI, IMENICA
